"country","iso_code","region","year","cases_total","cases_imported","deaths_total","first_epiwk","last_epiwk","coverage_days","year_fraction","source","cfr","cfr_lo","cfr_hi"
"Benin","BEN","AFRO",1970,175,NA,37,1970-01-01,1970-12-31,365,1,"OWiD",0.211428571428571,0.153448397690587,0.279450052853377
"Benin","BEN","AFRO",1971,2133,NA,274,1971-01-01,1971-12-31,365,1,"OWiD",0.128457571495546,0.114541335624513,0.143403297651538
"Benin","BEN","AFRO",1972,250,NA,29,1972-01-01,1972-12-31,365,1,"OWiD",0.116,0.0790789191331636,0.16233205313311
"Benin","BEN","AFRO",1973,3,NA,2,1973-01-01,1973-12-31,365,1,"OWiD",0.666666666666667,0.0942993240502461,0.991596241340387
"Benin","BEN","AFRO",1974,73,NA,4,1974-01-01,1974-12-31,365,1,"OWiD",0.0547945205479452,0.0151295238380366,0.134393834354759
"Benin","BEN","AFRO",1975,45,NA,1,1975-01-01,1975-12-31,365,1,"OWiD",0.0222222222222222,0.000562459715402258,0.117704331418294
"Benin","BEN","AFRO",1976,146,NA,14,1976-01-01,1976-12-31,365,1,"OWiD",0.0958904109589041,0.053421640111932,0.155653193808629
"Benin","BEN","AFRO",1977,2,NA,0,1977-01-01,1977-12-31,365,1,"OWiD",0,0,0.841886116991581
"Benin","BEN","AFRO",1978,27,NA,0,1978-01-01,1978-12-31,365,1,"OWiD",0,0,0.127702867615432
"Benin","BEN","AFRO",1980,3,NA,0,1980-01-01,1980-12-31,365,1,"OWiD",0,0,0.707598226178713
"Benin","BEN","AFRO",1981,2,NA,0,1981-01-01,1981-12-31,365,1,"OWiD",0,0,0.841886116991581
"Benin","BEN","AFRO",1982,3,NA,0,1982-01-01,1982-12-31,365,1,"OWiD",0,0,0.707598226178713
"Benin","BEN","AFRO",1983,1,NA,0,1983-01-01,1983-12-31,365,1,"OWiD",0,0,0.975
"Benin","BEN","AFRO",1984,1,NA,0,1984-01-01,1984-12-31,365,1,"OWiD",0,0,0.975
"Benin","BEN","AFRO",1986,243,NA,13,1986-01-01,1986-12-31,365,1,"OWiD",0.0534979423868313,0.028789446234809,0.0897457810264001
"Benin","BEN","AFRO",1991,7474,NA,259,1991-01-01,1991-12-31,365,1,"OWiD",0.0346534653465347,0.0306223812800122,0.0390525342249042
"Benin","BEN","AFRO",1992,413,NA,17,1992-01-01,1992-12-31,365,1,"OWiD",0.0411622276029056,0.0241583385444301,0.0650881920731095
"Benin","BEN","AFRO",1993,10,NA,2,1993-01-01,1993-12-31,365,1,"OWiD",0.2,0.0252107263268334,0.556095462307642
"Benin","BEN","AFRO",1994,187,NA,20,1994-01-01,1994-12-31,365,1,"OWiD",0.106951871657754,0.06656411285656,0.160338712231062
"Benin","BEN","AFRO",1995,203,NA,12,1995-01-01,1995-12-31,365,1,"OWiD",0.0591133004926108,0.0309144685585624,0.100981753634617
"Benin","BEN","AFRO",1996,6190,NA,203,1996-01-01,1996-12-31,365,1,"OWiD",0.032794830371567,0.0284986386102514,0.0375382716883779
"Benin","BEN","AFRO",1997,796,NA,16,1997-01-01,1997-12-31,365,1,"OWiD",0.0201005025125628,0.0115317544138403,0.0324371591302384
"Benin","BEN","AFRO",1998,206,NA,1,1998-01-01,1998-12-31,365,1,"OWiD",0.00485436893203883,0.00012289442836725,0.0267485953221135
"Benin","BEN","AFRO",1999,855,NA,25,1999-01-01,1999-12-31,365,1,"OWiD",0.0292397660818713,0.0190099210017961,0.0428624638867413
"Benin","BEN","AFRO",2000,468,NA,11,2000-01-01,2000-12-31,365,1,"OWiD",0.0235042735042735,0.011790303991109,0.0416658280624409
"Benin","BEN","AFRO",2001,3943,NA,71,2001-01-01,2001-12-31,365,1,"OWiD",0.0180065939639868,0.014089397571053,0.0226592720565437
"Benin","BEN","AFRO",2002,270,NA,13,2002-01-01,2002-12-31,365,1,"OWiD",0.0481481481481481,0.0258826047048008,0.0809275689186598
"Benin","BEN","AFRO",2003,434,NA,11,2003-01-01,2003-12-31,365,1,"OWiD",0.0253456221198157,0.0127188376658726,0.0448970656471337
"Benin","BEN","AFRO",2004,642,NA,9,2004-01-01,2004-12-31,365,1,"OWiD",0.014018691588785,0.00642974278522291,0.0264444427630258
"Benin","BEN","AFRO",2005,749,NA,11,2005-01-01,2005-12-31,365,1,"OWiD",0.0146862483311081,0.00735351866946659,0.0261255261729263
"Benin","BEN","AFRO",2006,91,NA,1,2006-01-01,2006-12-31,365,1,"OWiD",0.010989010989011,0.000278178971210032,0.0597108128163317
"Benin","BEN","AFRO",2008,985,NA,5,2008-01-01,2008-12-31,365,1,"OWiD",0.0050761421319797,0.00165020204892221,0.0118059689523948
"Benin","BEN","AFRO",2009,74,NA,1,2009-01-01,2009-12-31,365,1,"OWiD",0.0135135135135135,0.000342074019664797,0.0730073885096648
"Benin","BEN","AFRO",2010,983,NA,8,2010-01-01,2010-12-31,365,1,"OWiD",0.0081383519837233,0.00351992143823069,0.0159725255651939
"Benin","BEN","AFRO",2011,755,NA,4,2011-01-01,2011-12-31,365,1,"OWiD",0.00529801324503311,0.00144536034486456,0.0135090351057653
"Benin","BEN","AFRO",2012,625,NA,3,2012-01-01,2012-12-31,365,1,"OWiD",0.0048,0.000990971378684914,0.0139630460989826
"Benin","BEN","AFRO",2013,528,NA,6,2013-01-01,2013-12-31,365,1,"OWiD",0.0113636363636364,0.00418135649898705,0.0245688140880947
"Benin","BEN","AFRO",2014,832,NA,12,2014-01-01,2014-12-31,365,1,"OWiD",0.0144230769230769,0.00747423284602162,0.0250585604934982
"Benin","BEN","AFRO",2016,761,NA,13,2016-01-01,2016-12-31,365,1,"OWiD",0.0170827858081472,0.00912641638320199,0.0290349345392633
"Benin","BEN","AFRO",2017,11,NA,0,2017-01-01,2017-12-31,365,1,"OWiD",0,0,0.284914152918154
"Benin","BEN","AFRO",2019,50,NA,0,2019-01-01,2019-12-31,365,1,"OWiD",0,0,0.0711217364641976
"Benin","BEN","AFRO",2020,232,NA,6,2020-01-01,2020-12-31,365,1,"OWiD",0.0258620689655172,0.00954877781610126,0.0554380435958035
"Benin","BEN","AFRO",2021,1298,NA,23,2021-01-01,2021-12-31,365,1,"OWiD",0.0177195685670262,0.0112650034991733,0.0264700093684512
"Benin","BEN","AFRO",2022,433,0,2,2022-01-01,2022-12-31,365,1,"WHO_PDF_2022",0.0046189376443418,0.000559865074756949,0.0165848298212629
"Botswana","BWA","AFRO",2005,0,NA,0,2005-01-01,2005-12-31,365,1,"OWiD",NA,NA,NA
"Botswana","BWA","AFRO",2006,0,NA,0,2006-01-01,2006-12-31,365,1,"OWiD",NA,NA,NA
"Botswana","BWA","AFRO",2008,8,NA,1,2008-01-01,2008-12-31,365,1,"OWiD",0.125,0.00315972353125191,0.526509670875207
"Botswana","BWA","AFRO",2009,15,NA,2,2009-01-01,2009-12-31,365,1,"OWiD",0.133333333333333,0.0165759134400836,0.404602696603372
